gear batch 1,gear batch 2,gear batch 3,gear batch 4,gear batch 5,gear batch 6,gear batch 7,gear batch 8,gear batch 9,gear batch 10
1.006,0.998,0.991,1.005,0.998,1.009,0.99,0.998,1.002,0.991
0.996,1.006,0.987,1.002,0.998,1.013,1.004,1.0,0.998,0.995
0.998,1.0,0.997,0.994,0.982,1.009,0.996,1.006,0.996,0.984
1.0,1.002,0.999,1.0,0.99,0.997,1.001,1.0,0.995,0.994
0.992,0.997,0.995,0.995,1.002,0.988,0.998,1.002,0.996,0.997
0.993,0.998,0.994,0.994,0.984,1.002,1.0,0.996,1.004,0.997
1.002,0.996,1.0,0.998,0.996,0.995,1.018,0.998,1.004,0.991
0.999,1.0,0.999,0.996,0.993,0.998,1.01,0.996,0.998,0.998
0.994,1.006,0.996,1.002,0.98,0.981,0.996,1.002,0.999,1.004
1.0,0.988,0.996,0.996,0.996,0.996,1.002,1.006,0.991,0.997
